,FT
0,993.18
1,1149.13
2,1187.35
3,858.6
4,1037.69
5,906.565
6,1144.625
7,895.44
8,777.04
9,833.125
10,860.1
11,883.2
12,762.73
13,1042.375
14,1061.52
15,902.04
16,1031.215
17,908.125
18,959.855
19,936.92
20,854.3
21,1036.29
22,1048.325
23,863.675
24,1020.0
25,1007.95
26,980.19
27,1033.275
28,850.725
29,908.125
30,982.775
31,882.525
32,788.95
33,788.7
34,945.08
35,1012.775
36,1052.5
37,926.975
38,943.775
39,1073.115
40,1245.85
41,1051.15
42,1057.85
43,1220.095
44,1143.775
45,983.89
46,1091.84
47,1055.32
48,1055.32
49,1051.215
50,1037.69
51,1052.5
52,1091.125
53,1091.34
54,1062.905
55,1072.54
56,1076.82
57,843.05
58,1085.5
59,1084.215
60,1083.15
61,1057.85
62,986.385
63,1123.05
64,1124.76
65,1083.15
66,1059.15
67,1058.07
68,1146.5
69,1066.62
70,1186.89
71,936.9
72,1046.645
73,1077.7
74,1098.375
75,1085.5
76,955.7
77,1078.25
78,738.1
79,1025.14
80,1121.545
81,1072.165
82,1057.845
83,1094.875
84,1097.49
85,1115.015
86,1122.69
87,1076.815
88,1008.85
89,866.43
90,789.19
91,983.265
92,1034.015
93,883.2
94,897.125
95,864.715
96,928.74
97,899.225
98,970.305
99,942.005
100,649.53
101,961.065
102,1158.245
103,1203.53
104,999.8
105,1287.255
106,1099.24
107,1127.615
108,1066.615
109,1053.365
110,1040.735
111,1042.815
112,902.715
113,847.065
114,1079.475
115,761.425
116,867.25
117,810.48
118,759.92
119,847.065
120,886.925
121,858.365
122,886.775
123,879.54
124,896.6
125,758.415
126,787.905
127,817.89
128,835.63
129,854.13
130,920.865
131,981.495
132,811.33
133,1067.23
134,1054.355
135,1136.59
136,1010.775
137,1042.375
138,992.565
139,1140.85
140,1044.905
141,932.39
142,979.695
143,1098.375
144,1077.7
145,1042.375
146,713.44
147,1033.275
148,807.555
149,923.825
150,1135.64
151,898.365
152,1169.25
153,743.94
154,933.875
155,1042.325
156,814.965
157,755.4
158,1037.69
159,1150.95
160,1149.165
161,1120.55
162,1128.155
163,999.175
164,1092.345
165,1091.125
166,1139.425
167,1139.36
168,1182.975
169,1084.725
170,1093.6
171,1075.17
172,1100.565
173,1060.74
174,1083.73
175,1126.425
176,1002.98
177,1084.59
178,1144.915
179,1082.845
180,1196.92
181,920.89
182,896.6
183,1097.49
184,955.915
185,1001.37
186,1123.365
187,1230.175
188,1266.57
189,1226.05
190,1069.0
191,1132.165
192,1155.74
193,1287.255
194,977.38
195,1099.78
196,755.64
197,649.53
198,1141.335
199,1280.26
200,1196.39
201,1050.95
202,1122.125
203,946.025
204,977.6
205,894.075
206,975.355
207,980.015
208,1055.625
209,1094.79
210,1001.47
211,1014.24
212,1078.34
213,997.955
214,1070.855
215,1158.865
216,1079.345
217,1236.67
218,1174.9
219,1200.74
220,1247.675
221,855.95
222,1166.215
223,1089.48
224,935.705
225,1255.045
226,1181.705
227,1227.895
228,1054.63
229,1059.15
230,944.925
231,896.6
232,1074.395
233,914.115
234,935.99
235,982.835
236,1074.625
237,1069.09
238,1091.465
239,1079.915
240,1022.955
241,890.525
242,766.395
243,923.825
244,1008.22
245,1134.8
246,1091.84
247,1039.47
248,1068.54
249,1057.945
250,1094.79
251,1041.705
252,1081.79
253,1027.12
254,1206.2
255,1247.67
256,1296.95
257,1271.525
258,1290.005
259,1237.575
260,1139.405
261,1208.025
262,1260.28
263,998.25
264,1121.14
265,1278.065
266,1268.27
267,1181.59
268,1116.075
269,1145.075
270,755.4
271,842.5
272,800.825
273,826.97
274,799.34
275,971.515
276,856.105
277,842.5
278,812.065
279,848.605
280,950.28
281,1094.875
282,985.39
283,946.665
284,825.59
285,1114.025
286,1102.93
287,1065.195
288,1028.315
289,988.43
290,1144.915
291,1009.03
292,1028.595
293,895.415
294,928.44
295,1050.13
296,1065.75
297,1041.265
298,1128.865
299,1043.54
300,1032.555
301,912.78
302,1116.79
303,1009.5
304,1026.005
305,691.63
306,1036.29
307,878.355
308,977.6
309,1055.25
310,1166.675
311,999.58
312,1117.715
313,1026.95
314,1060.38
315,1070.855
316,1019.795
317,1155.44
318,1031.49
319,1020.075
320,1071.0
321,1123.3
322,1085.5
323,1134.505
324,1089.48
325,1155.74
326,1131.325
327,937.39
328,1078.34
329,1076.59
330,775.535
331,1019.465
332,1037.69
333,1040.22
334,952.98
335,1009.03
336,1051.765
337,1029.625
338,1170.32
339,1098.425
340,973.87
341,874.3
342,1149.3
343,1241.94
344,962.58
345,1078.25
346,733.3
347,1054.63
348,821.265
349,1077.715
350,1176.715
351,1166.69
352,836.8
353,1138.95
354,1085.125
355,837.28
356,873.715
357,926.34
358,906.565
359,1096.15
360,1012.97
361,1045.54
362,1048.22
363,934.63
364,937.865
365,865.815
366,1028.35
367,1015.545
368,1047.44
369,1038.38
370,1055.625
371,1054.355
372,1139.215
373,1072.8
374,1013.505
375,1055.615
376,1043.35
377,990.18
378,829.615
379,508.4
380,941.05
381,994.36
382,1127.8
383,902.05
384,962.555
385,713.44
386,783.54
387,1028.23
