,HT
0,137.75
1,198.5
2,206.333333333333
3,136.5
4,146.75
5,143.75
6,196.25
7,137.5
8,143.0
9,149.75
10,166.0
11,154.5
12,147.5
13,187.666666666667
14,168.0
15,170.75
16,151.0
17,162.25
18,158.25
19,167.75
20,184.0
21,150.0
22,154.75
23,140.0
24,166.0
25,191.0
26,144.25
27,179.0
28,134.5
29,106.55
30,172.0
31,171.5
32,177.5
33,131.0
34,164.25
35,181.25
36,198.5
37,177.5
38,181.0
39,148.0
40,203.0
41,215.75
42,173.0
43,201.333333333333
44,185.0
45,163.666666666667
46,177.0
47,183.5
48,206.0
49,172.5
50,185.25
51,198.0
52,218.75
53,214.25
54,175.75
55,172.25
56,160.625
57,190.2
58,173.0
59,218.0
60,183.25
61,195.0
62,194.75
63,186.75
64,205.0
65,184.75
66,173.5
67,179.0
68,191.25
69,201.5
70,200.75
71,181.0
72,202.75
73,195.25
74,201.25
75,165.0
76,169.5
77,199.5
78,186.0
79,180.5
80,186.25
81,180.25
82,190.25
83,209.5
84,212.75
85,222.375
86,239.5
87,183.0
88,145.0
89,142.25
90,138.5
91,143.75
92,166.0
93,131.0
94,180.0
95,174.0
96,183.5
97,158.25
98,182.333333333333
99,136.5
100,174.333333333333
101,169.75
102,177.75
103,192.0
104,163.5
105,193.0
106,168.666666666667
107,167.875
108,95.375
109,105.0
110,114.5
111,112.666666666667
112,160.5
113,136.75
114,174.5
115,137.5
116,167.25
117,176.25
118,125.333333333333
119,153.75
120,137.0
121,141.75
122,178.5
123,168.75
124,137.0
125,157.75
126,172.75
127,130.0
128,141.5
129,163.0
130,170.0
131,199.0
132,138.0
133,161.75
134,205.0
135,206.333333333333
136,179.75
137,184.0
138,208.5
139,190.0
140,175.5
141,176.5
142,186.75
143,202.75
144,182.0
145,189.5
146,155.5
147,180.5
148,130.666666666667
149,144.25
150,161.333333333333
151,159.7
152,174.333333333333
153,121.0
154,146.0
155,163.0
156,143.0
157,146.666666666667
158,180.5
159,175.0
160,147.25
161,203.25
162,139.0
163,160.25
164,158.75
165,199.5
166,185.5
167,190.75
168,179.0
169,193.25
170,187.0
171,169.5
172,198.5
173,182.75
174,169.75
175,188.5
176,120.0
177,196.25
178,168.75
179,199.333333333333
180,187.0
181,155.0
182,158.666666666667
183,145.25
184,185.333333333333
185,174.25
186,193.25
187,214.75
188,179.0
189,200.0
190,185.25
191,145.25
192,173.75
193,192.333333333333
194,198.0
195,173.5
196,143.5
197,199.666666666667
198,195.0
199,211.5
200,208.666666666667
201,219.5
202,218.25
203,180.0
204,170.0
205,167.5
206,132.0
207,159.25
208,163.25
209,201.75
210,148.4375
211,153.25
212,178.75
213,157.25
214,161.333333333333
215,171.75
216,191.25
217,219.75
218,221.0
219,193.5
220,199.75
221,207.0
222,192.75
223,217.5
224,164.0
225,173.5
226,202.0
227,219.666666666667
228,171.0
229,158.0
230,181.5
231,139.75
232,161.25
233,186.0
234,170.25
235,167.666666666667
236,154.75
237,163.0
238,192.5
239,214.0
240,210.5
241,129.5
242,136.75
243,179.5
244,163.75
245,177.25
246,181.25
247,190.25
248,165.75
249,210.0
250,176.0
251,176.5
252,192.75
253,170.0
254,178.75
255,225.0
256,159.0
257,156.0
258,165.5
259,202.0
260,171.5
261,183.25
262,183.75
263,209.333333333333
264,193.25
265,194.5
266,180.5
267,188.333333333333
268,155.25
269,206.25
270,99.0
271,109.5
272,158.25
273,138.5
274,150.25
275,136.75
276,88.75
277,131.75
278,104.75
279,159.0
280,134.75
281,177.25
282,163.25
283,163.25
284,155.75
285,198.5
286,185.75
287,203.25
288,160.5
289,162.5
290,232.25
291,178.75
292,178.25
293,131.5
294,162.0
295,152.75
296,148.0
297,174.25
298,188.5
299,174.333333333333
300,163.0
301,171.333333333333
302,184.5
303,132.25
304,170.75
305,168.0
306,177.0
307,158.25
308,175.333333333333
309,197.0
310,203.75
311,181.0
312,188.5
313,192.8
314,176.25
315,181.5
316,177.0
317,216.5
318,180.75
319,194.75
320,196.0
321,204.5
322,199.25
323,195.25
324,181.5
325,178.75
326,197.75
327,140.0
328,182.25
329,156.0
330,116.5
331,152.25
332,158.75
333,187.5
334,189.5
335,180.0
336,177.0
337,186.75
338,187.75
339,209.0
340,168.0
341,124.0
342,198.5
343,174.25
344,157.0
345,174.333333333333
346,177.333333333333
347,180.5
348,150.0
349,173.0
350,191.5
351,199.666666666667
352,165.0
353,200.5
354,190.25
355,143.666666666667
356,126.375
357,117.25
358,178.875
359,168.0
360,187.75
361,188.25
362,175.75
363,179.5
364,143.0
365,102.5
366,128.75
367,161.75
368,180.5
369,201.75
370,200.75
371,181.375
372,189.0
373,190.25
374,171.0
375,156.5
376,165.25
377,145.714285714286
378,174.0
379,145.333333333333
380,183.333333333333
381,192.5
382,166.25
383,152.75
384,156.0
385,176.5
386,178.0
387,151.25
